StationID,MasterID,Latitude,Longitude,COMID
106MNCAHC,106MNCAHC,40.638,-123.321,8232424
106PS0022,106PS0022,40.67269,-123.52279,8232312
106PS0051,106PS0051,41.24781,-122.64249,8242694
106PS0078,106PS0078,40.55161,-123.13495,8232714
106PS0106,106PS0106,40.81234,-123.11985,8244186
106PS0115,106PS0115,41.17285,-122.86988,8242116
106PS0122,106PS0122,41.11227,-122.86482,8242294
106PS0124,106PS0124,40.1704,-123.02884,8235234
106PS0142,106PS0142,40.45844,-123.16716,8234706
106PS0166,106PS0166,41.04441,-123.61115,8241184
106PS0173,106PS0173,40.37818,-123.29889,8234928
106PS0186,106PS0186,40.3062,-123.1213,8235108
106PTCAHC,106PTCAHC,40.49615,-123.03502,8234604
106WE0505,106WE0505,40.86244,-122.90169,8245608
106WE0574,106WE0574,41.0483,-122.6553,8242492
106WE0580,106WE0580,40.7789,-123.33513,8244304
106WE0581,106WE0581,40.25425,-123.1078,8236312
106WE0587,106WE0587,40.62725,-123.3729,8232508
106WE0593,106WE0593,40.84723,-123.39963,8243996
106WE0768,106WE0768,40.62567,-122.95602,8246006
106WE0812,106WE0812,40.68862,-122.93228,8245846
106WE0824,106WE0824,41.19708,-122.52973,8242088
106WE0831,106WE0831,40.6977,-123.36434,8232248
106WE0843,106WE0843,40.44593,-122.94635,8248430
106WE1055,106WE1055,40.90353,-123.01368,8243780
106WE1062,106WE1062,40.60279,-122.91109,8245974
106WE1066,106WE1066,41.15445,-123.56903,8240980
106WE1079,106WE1079,41.13251,-122.80644,8242250
106WE1080,106WE1080,40.45212,-123.41928,8234712
106WER011,106WER011,40.93667,-123.15389,8243440
106WER012,106WER012,40.23806,-123.08,8235160
106WER014,106WER014,40.24101,-123.08278,8236316
106WER016,106WER016,40.48972,-123.02833,8234604
106WER037,106WER037,41.00861,-123.60081,8241296
106WER062,106WER062,41.13472,-122.80333,8242250
107GWCAPC,107GWCAPC,41.36788,-124.02434,8315561
107LLM101,107LLM101,41.32697,-124.02387,8315609
107PS0021,107PS0021,41.32445,-124.00712,8315591
